0 1 2 3 4 6 36 0.194072 
0 1 2 3 4 6 37 0.198729 
0 1 2 3 4 6 38 0.200765 
0 1 2 3 4 6 39 0.201378 
0 1 2 3 4 6 40 0.201674 
0 1 2 3 4 6 41 0.201585 
0 1 2 3 4 6 42 0.195298 
0 1 2 3 4 6 43 0.197418 
0 1 2 3 4 6 44 0.199842 
0 1 2 3 4 6 45 0.200908 
0 1 2 3 4 6 46 0.201552 
0 1 2 3 4 6 47 0.201615 
0 1 2 3 4 7 8 0.201915 
0 1 2 3 4 7 9 0.202119 
0 1 2 3 4 7 10 0.202089 
0 1 2 3 4 7 11 0.202081 
0 1 2 3 4 7 12 0.198877 
0 1 2 3 4 7 13 0.193964 
0 1 2 3 4 7 14 0.196473 
0 1 2 3 4 7 15 0.19989 
0 1 2 3 4 7 16 0.201021 
0 1 2 3 4 7 17 0.202182 
0 1 2 3 4 7 18 0.197417 
0 1 2 3 4 7 19 0.19366 
0 1 2 3 4 7 20 0.200458 
0 1 2 3 4 7 21 0.201976 
0 1 2 3 4 7 22 0.202258 
0 1 2 3 4 7 23 0.202098 
0 1 2 3 4 7 24 0.198475 
0 1 2 3 4 7 25 0.194023 
0 1 2 3 4 7 26 0.196184 
0 1 2 3 4 7 27 0.199605 
0 1 2 3 4 7 28 0.200862 
0 1 2 3 4 7 29 0.202199 
0 1 2 3 4 7 30 0.197985 
0 1 2 3 4 7 31 0.194158 
0 1 2 3 4 7 32 0.195767 
0 1 2 3 4 7 33 0.199069 
0 1 2 3 4 7 34 0.200534 
0 1 2 3 4 7 35 0.202231 
0 1 2 3 4 7 36 0.195315 
0 1 2 3 4 7 37 0.194182 
0 1 2 3 4 7 38 0.198091 
0 1 2 3 4 7 39 0.201131 
0 1 2 3 4 7 40 0.202181 
0 1 2 3 4 7 41 0.202123 
0 1 2 3 4 7 42 0.195658 
0 1 2 3 4 7 43 0.194573 
0 1 2 3 4 7 44 0.19699 
0 1 2 3 4 7 45 0.200073 
0 1 2 3 4 7 46 0.201962 
0 1 2 3 4 7 47 0.202154 
0 1 2 3 4 8 9 0.20256 
0 1 2 3 4 8 10 0.202511 
0 1 2 3 4 8 11 0.202403 
0 1 2 3 4 8 12 0.200016 
0 1 2 3 4 8 13 0.197871 
0 1 2 3 4 8 14 0.194887 
0 1 2 3 4 8 15 0.200121 
0 1 2 3 4 8 16 0.201567 
0 1 2 3 4 8 17 0.202485 
0 1 2 3 4 8 18 0.197378 
0 1 2 3 4 8 19 0.195753 
0 1 2 3 4 8 20 0.194745 
0 1 2 3 4 8 21 0.201605 
0 1 2 3 4 8 22 0.202512 
0 1 2 3 4 8 23 0.202432 
0 1 2 3 4 8 24 0.199594 
0 1 2 3 4 8 25 0.197501 
0 1 2 3 4 8 26 0.194915 
0 1 2 3 4 8 27 0.199788 
0 1 2 3 4 8 28 0.201409 
0 1 2 3 4 8 29 0.202502 
0 1 2 3 4 8 30 0.199012 
0 1 2 3 4 8 31 0.196976 
0 1 2 3 4 8 32 0.194979 
0 1 2 3 4 8 33 0.199181 
0 1 2 3 4 8 34 0.201078 
0 1 2 3 4 8 35 0.202533 
0 1 2 3 4 8 36 0.195303 
0 1 2 3 4 8 37 0.194505 
0 1 2 3 4 8 38 0.194981 
0 1 2 3 4 8 39 0.200258 
0 1 2 3 4 8 40 0.202345 
0 1 2 3 4 8 41 0.202449 
0 1 2 3 4 8 42 0.195632 
0 1 2 3 4 8 43 0.19458 
0 1 2 3 4 8 44 0.19516 
0 1 2 3 4 8 45 0.199018 
0 1 2 3 4 8 46 0.202028 
0 1 2 3 4 8 47 0.202484 
0 1 2 3 4 9 10 0.20272 
0 1 2 3 4 9 11 0.202587 
0 1 2 3 4 9 12 0.200776 
0 1 2 3 4 9 13 0.20069 
0 1 2 3 4 9 14 0.200599 
0 1 2 3 4 9 15 0.195432 
0 1 2 3 4 9 16 0.201729 
0 1 2 3 4 9 17 0.202662 
0 1 2 3 4 9 18 0.197646 
0 1 2 3 4 9 19 0.198371 
0 1 2 3 4 9 20 0.199963 
